Timestamp,Sensor 1 (Temperature C),Sensor 2 (Pressure KPa),Wind speed (m/s),Vibration (Hz),n (RPM),Power Output (MW),Ambient Temperature (deg C),Stop Event,Stop Reason
8/1/2024 8:00,85,101,4.5,1500,45,30,10,Scheduled Stop,Routine Maintenance
8/1/2024 12:00,92,110,5.2,1450,47,32,25,Emergency Stop,High Wind Speed
8/2/2024 15:00,80,98,4,1520,46,28,8,Normal Operation,N/A
8/3/2024 9:00,88,105,4.7,1480,44,29,12,Scheduled Stop,Lubrication System Check
8/3/2024 14:00,95,115,5.5,1420,43,35,30,Failure,Bearing Overheating
8/1/2024 8:00,85,101,4.5,1500,45,30,10,Scheduled Stop,Routine Maintenance
8/1/2024 12:00,92,110,5.2,1450,47,32,25,Emergency Stop,High Wind Speed
8/2/2024 15:00,80,98,4,1520,46,28,8,Normal Operation,N/A
8/3/2024 9:00,88,105,4.7,1480,44,29,12,Scheduled Stop,Lubrication System Check
8/3/2024 14:00,95,115,5.5,1420,43,35,30,Failure,Bearing Overheating
8/4/2024 10:00,87,102,4.8,1490,46,31,20,Scheduled Stop,Filter Replacement
8/5/2024 8:30,90,107,5.1,1460,45,33,15,Normal Operation,N/A
8/5/2024 14:00,93,112,5.4,1430,44,36,28,Emergency Stop,High Vibration Levels
8/6/2024 13:00,82,100,4.2,1510,47,29,10,Normal Operation,N/A
8/7/2024 9:00,89,109,4.9,1470,43,34,18,Scheduled Stop,Cooling System Check
8/7/2024 16:00,96,118,5.6,1410,42,38,32,Failure,Rotor Imbalance
8/8/2024 11:00,83,99,4.3,1500,46,30,12,Normal Operation,N/A
8/9/2024 10:00,91,108,5,1455,44,33,22,Emergency Stop,High Wind Speed
8/10/2024 8:30,84,103,4.6,1495,45,31,14,Scheduled Stop,Gearbox Inspection
8/10/2024 14:30,88,106,4.8,1480,43,32,16,Normal Operation,N/A
8/11/2024 13:00,94,113,5.3,1425,41,36,29,Emergency Stop,Overheating Detected
8/12/2024 12:00,86,104,4.7,1485,44,34,18,Normal Operation,N/A
8/13/2024 15:00,97,120,5.7,1400,40,39,35,Failure,Extreme High Wind Speed
8/14/2024 9:00,81,97,3.9,1525,46,28,11,Normal Operation,N/A
8/15/2024 8:00,89,110,4.9,1465,43,35,21,Scheduled Stop,Electrical System Maintenance
8/16/2024 8:00,84,103,4.4,1505,45,32,12,Scheduled Stop,Blade Inspection
8/16/2024 13:00,87,107,4.7,1470,44,34,20,Emergency Stop,Sudden Drop in Pressure
8/17/2024 9:30,82,100,4.2,1520,47,30,14,Normal Operation,N/A
8/18/2024 7:00,93,111,5.3,1435,42,37,26,Emergency Stop,High Vibration Levels
8/18/2024 14:00,90,109,5.1,1455,43,36,24,Normal Operation,N/A
8/19/2024 10:00,95,115,5.6,1415,40,38,30,Failure,Bearing Overheating
8/20/2024 8:30,83,102,4.3,1500,46,31,18,Scheduled Stop,Lubrication System Check
8/21/2024 11:00,86,105,4.6,1480,44,32,15,Normal Operation,N/A
8/22/2024 9:00,89,108,4.8,1460,43,33,22,Emergency Stop,High Wind Speed
8/23/2024 12:00,81,99,4.1,1510,45,29,10,Normal Operation,N/A
8/24/2024 8:00,88,106,4.9,1475,44,35,21,Scheduled Stop,Filter Replacement
8/25/2024 7:00,94,113,5.4,1425,41,37,28,Emergency Stop,Overheating Detected
8/26/2024 9:00,85,104,4.5,1490,46,33,16,Normal Operation,N/A
8/27/2024 10:30,97,120,5.7,1405,39,39,33,Failure,Rotor Imbalance
8/28/2024 11:00,84,103,4.4,1500,44,31,14,Normal Operation,N/A
9/3/2024 8:00,83,102,4.3,1505,46,32,15,Scheduled Stop,Gearbox Inspection
9/3/2024 14:00,88,108,4.8,1470,44,34,20,Normal Operation,N/A
9/4/2024 9:30,92,112,5.1,1440,42,36,26,Emergency Stop,High Wind Speed
9/5/2024 10:00,85,104,4.5,1490,45,33,18,Normal Operation,N/A
9/6/2024 8:30,95,116,5.5,1420,40,38,30,Failure,Bearing Overheating
9/7/2024 12:00,84,103,4.4,1500,44,32,14,Scheduled Stop,Lubrication System Check
9/8/2024 11:00,87,106,4.7,1470,43,34,22,Emergency Stop,Sudden Drop in Pressure
9/9/2024 9:00,81,98,4,1510,46,30,12,Normal Operation,N/A
9/10/2024 8:00,90,109,4.9,1455,43,33,25,Emergency Stop,High Vibration Levels
9/11/2024 10:00,83,102,4.3,1505,45,31,16,Normal Operation,N/A
9/12/2024 12:00,96,118,5.6,1415,40,37,29,Failure,Rotor Imbalance
9/13/2024 9:00,85,104,4.5,1490,46,33,19,Normal Operation,N/A
9/14/2024 8:30,88,107,4.8,1475,44,35,20,Scheduled Stop,Cooling System Check
9/15/2024 10:00,91,111,5.2,1445,41,36,27,Emergency Stop,Overheating Detected
9/16/2024 8:00,84,103,4.4,1500,45,31,13,Normal Operation,N/A
9/17/2024 11:00,97,120,5.7,1400,39,39,32,Failure,Extreme High Wind Speed
9/18/2024 9:30,82,100,4.2,1515,47,28,10,Normal Operation,N/A
9/19/2024 8:00,86,105,4.6,1480,44,32,17,Scheduled Stop,Electrical System Maintenance
9/20/2024 10:00,89,109,4.9,1460,43,34,21,Emergency Stop,High Wind Speed
9/21/2024 9:00,81,99,4.1,1510,45,29,12,Normal Operation,N/A
9/22/2024 8:30,90,110,5,1445,42,33,18,Scheduled Stop,Gearbox Inspection
9/23/2024 9:00,93,114,5.3,1430,41,36,24,Emergency Stop,Sudden Drop in Pressure
9/24/2024 12:00,87,108,4.8,1450,43,34,19,Normal Operation,N/A
9/25/2024 10:00,94,116,5.4,1410,40,38,30,Failure,Bearing Overheating
9/26/2024 11:00,84,103,4.4,1500,46,31,14,Normal Operation,N/A
9/27/2024 9:00,92,113,5.2,1440,42,35,23,Emergency Stop,High Vibration Levels
9/28/2024 8:00,85,104,4.5,1495,45,32,16,Scheduled Stop,Lubrication System Check
9/29/2024 10:30,96,119,5.7,1410,39,37,28,Failure,Rotor Imbalance
9/30/2024 11:00,84,103,4.4,1500,44,32,15,Normal Operation,N/A
10/1/2024 8:00,89,110,5,1465,43,34,22,Emergency Stop,High Wind Speed
